LON,LAT,DHW2020,CORAL_LOSS_BLEACH2020,CORAL_COVER2019,CORAL_COVER2020
142.5916,-10.7795,7.65999982878566,-11.36208375,19.342286875,13.458195625
142.7106,-10.7966,8.62999980710447,-9.96644875,16.052573125,12.19457625
142.5736,-10.8243,7.98999982140958,-11.4461375,20.264746875,15.060309375
142.5766,-10.8354,7.98999982140958,-13.72635125,22.54333125,15.73961
142.6871,-10.8199,8.67999980598688,-11.947938125,17.28971,10.692281875
142.7231,-10.8213,8.63999980688095,-14.026614375,19.566695,11.19965875
142.7622,-10.821,8.95999979972839,-12.006565625,16.49539625,9.432035
142.9288,-10.8079,9.47999978810549,-13.353835625,16.663141875,8.30288125
142.9836,-10.7999,9.76999978162348,-10.25570625,12.26346625,5.87038
142.6933,-10.887,8.48999981023371,-11.917960625,17.840454375,11.47378125
142.6963,-10.8899,8.48999981023371,-12.231876875,18.63306625,11.97701
142.7727,-10.9013,8.6699998062104,-14.45010625,19.048373125,9.533429375
142.6311,-10.9214,8.07999981939793,-14.40174,20.49901375,12.447491875
143.0896,-10.7754,10.049999775365,-9.245664375,11.298160625,5.80167125
142.597,-10.7043,7.42999983392656,-10.45506875,19.559999375,14.305853125
142.5979,-10.709,7.42999983392656,-9.81081875,17.585574375,12.806358125
142.593,-10.7153,7.42999983392656,-11.925855625,19.611065,13.129278125
142.6178,-10.7283,8.00999982096255,-12.71294625,20.186786875,13.59618875
142.6233,-10.7466,8.00999982096255,-13.8378625,23.0544375,15.465735625
142.6049,-10.7389,8.00999982096255,-9.739226875,17.595653125,13.515506875
142.6248,-10.7245,8.00999982096255,-13.112796875,18.106915,10.330101875
142.6299,-10.7189,8.00999982096255,-13.87607125,21.979689375,14.887963125
142.6732,-10.7008,8.11999981850386,-13.54231625,20.470560625,13.429940625
142.6854,-10.7119,8.11999981850386,-13.0346875,18.579256875,11.53002625
142.6918,-10.7167,8.11999981850386,-13.4016025,21.969475,15.237568125
142.7383,-10.6803,8.4399998113513,-11.67542625,17.4248175,10.7850425
142.7861,-10.6825,8.70999980531633,-7.962499375,12.84965375,8.71082375
142.7323,-10.7053,8.46999981068075,-12.213415,18.782201875,12.16301375
142.6143,-10.7578,8.039999820292,-13.532458125,23.499213125,16.7954775
142.6252,-10.7708,8.039999820292,-13.012368125,20.600591875,14.6575675
143.8008,-10.8032,5.48999987728894,-17.032313125,41.505381875,29.971890625
144.0066,-10.8055,4.25999990478158,-8.830225,23.756438125,22.072953125
143.9961,-10.8237,3.54999992065132,-8.82721375,28.316055625,26.5039825
143.8238,-10.8251,5.48999987728894,-15.84705375,45.37993875,35.145300625
143.7581,-10.8462,6.029999865219,-18.34996125,39.80855625,27.726766875
144.0145,-10.8449,4.25999990478158,-8.07629875,24.12533625,23.30509
143.9845,-10.8661,3.92999991215765,-6.819685625,25.04466375,25.530496875
142.7059,-10.9369,8.56999980844557,-11.65684625,16.726243125,11.10128625
142.7062,-10.9475,8.56999980844557,-12.211136875,18.266420625,12.1903025
142.7664,-10.99,8.50999980978668,-15.451505,22.398260625,13.924874375
143.2521,-10.6836,9.9899997767061,-12.042283125,14.695763125,7.91460625
143.4338,-10.6971,9.43999978899956,-17.841836875,23.907875,11.863253125
143.4663,-10.6966,9.31999979168177,-25.383313125,34.0416275,15.076668125
143.1903,-10.7318,10.5099997650832,-11.254469375,14.134103125,7.649300625
143.3368,-10.7347,10.049999775365,-11.861575625,14.238310625,6.584516875
143.0937,-10.7519,10.049999775365,-8.93974625,11.335893125,6.259995
143.3718,-10.7523,10.0599997751415,-12.580225625,14.932268125,7.19581375
